ID,AR [hms],DEC [dms],mu-ra*cos(dec) [mas/yr],mu-dec [mas/yr],plx [mas],radvel [km/s]
* ksi Psc,01 53 33.337,+03 11 15.117,32.687,25.146,16.6641,26.13
* gam Cet,02 43 18.039,+03 14 8.939,-146.1,-146.12,40.97,-4.9
* alf Equ,21 15 49.432,+05 14 52.243,59.88,-94.09,17.14,-16.26
* nu. Peg,22 05 40.751,+05 03 30.709,102.069,101.416,12.4379,-18.9
* tet Peg,22 10 11.985,+06 11 52.308,282.18,30.46,35.34,-7.9
* tet Psc,23 27 58.095,+06 22 44.372,-125.581,-43.229,19.2434,5.73
* iot Psc,23 39 57.041,+05 37 34.648,377.15,-437.43,72.92,5.615
* del Psc,00 48 40.944,+07 35 6.293,83.1,-49.58,10.48,32.45
* eps Psc,01 02 56.609,+07 53 24.486,-80.17,25.59,17.94,7.74
* mu. Psc,01 30 11.114,+06 08 37.758,292.0,-45.95,10.73,34.409
* nu. Psc,01 41 25.894,+05 29 15.406,-23.36,3.36,8.98,0.482
* nu. Cet,02 35 52.473,+05 35 35.69,-26.51,-22.32,9.59,6.9
* rho Peg,22 55 13.669,+08 48 58.253,78.625,12.398,11.1664,-10.6
* 55 Peg,23 07 0.261,+09 24 34.174,7.467,-12.276,9.9197,-5.34
* omi Psc,01 45 23.625,+09 09 27.903,71.227,53.727,12.5296,12.16
* ksi01 Cet,02 13 0.0,+08 50 48.128,-26.965,-1.154,10.4184,-3.93
* ksi02 Cet,02 28 9.557,+08 27 36.217,23.707,-4.787,16.5681,11.9
* gam Equ,21 10 20.5,+10 07 53.692,45.456,-152.116,28.2433,-16.489
* del Equ,21 14 28.815,+10 00 25.126,42.39,-304.19,54.09,-15.85
* eps Peg,21 44 11.156,+09 52 30.031,26.92,0.44,4.73,3.39
* 31 Peg,22 21 31.075,+12 12 18.663,6.32,4.8,2.01,-5.3
* 42 Peg,22 41 27.721,+10 49 52.908,77.22,-11.38,15.96,6.1
* ksi Peg,22 46 41.58,+12 10 22.389,233.354,-493.133,60.9161,-5.853
* 70 Peg,23 29 9.299,+12 45 37.98,60.447,28.353,17.1942,-16.88
* lam Cet,02 59 42.9,+08 54 26.49,6.01,-17.7,5.66,10.2
* alf Peg,23 04 45.653,+15 12 18.962,60.4,-41.3,24.46,-2.7
* gam Peg,00 13 14.151,+15 11 0.937,1.98,-9.28,8.33,3.2
* eta Psc,01 31 29.01,+15 20 44.969,27.14,-2.64,9.33,13.78
* 9 Peg,21 44 30.696,+17 21 0.057,8.66,-11.33,3.52,-22.733
* chi Peg,00 14 36.164,+20 12 24.13,91.831,1.152,9.4052,-46.6
* chi Psc,01 11 27.219,+21 02 4.741,39.32,-10.48,8.5,15.48
* gam01 Ari,01 53 31.819,+19 17 45.431,77.845,-106.965,18.8809,3.7
* gam02 Ari,01 53 31.813,+19 17 37.88,77.138,-97.321,19.6268,-0.6
* lam Peg,22 46 31.878,+23 33 56.356,55.75,-10.15,8.93,-4.15
* tau Peg,23 20 38.246,+23 44 25.278,36.27,-2.505,20.7145,15.2
* ups Peg,23 25 22.783,+23 24 14.763,191.856,36.183,18.7061,-8.59
* psi Peg,23 57 45.527,+25 08 29.048,-35.24,-31.6,6.85,-6.59
* zet And,00 47 20.325,+24 16 1.841,-101.17,-81.77,17.24,-24.43
* eta And,00 57 12.4,+23 25 3.536,-43.47,-45.73,14.2,-10.3
* bet Ari,01 54 38.411,+20 48 28.913,98.74,-110.41,55.6,-3.1
* mu. Peg,22 50 0.193,+24 36 5.698,144.7,-41.87,30.74,13.791
* 56 Peg,23 07 6.739,+25 28 5.733,-0.03,-33.07,5.51,-27.55
* phi Psc,01 13 44.946,+24 35 1.311,17.001,-20.531,8.1806,6.36
* lam Ari,01 57 55.716,+23 35 45.83,-92.55,-13.25,25.32,-11.2
* alf Ari,02 07 10.406,+23 27 44.703,188.55,-148.08,49.56,-14.412
* 2 Peg,21 29 56.895,+23 38 19.817,24.74,3.63,8.28,-18.92
* kap Peg,21 44 38.735,+25 38 42.136,48.13,14.29,29.22,-0.8
* iot Peg,22 07 0.666,+25 20 42.356,295.476,27.442,84.0054,-5.5
* 32 Peg,22 21 19.339,+28 19 49.907,17.504,5.298,4.5201,11.4
* omi Peg,22 41 45.404,+29 18 27.631,-4.553,-36.588,11.6546,9.09
* bet Peg,23 03 46.457,+28 04 58.034,187.65,136.93,16.64,7.99
* alf And,00 08 23.26,+29 05 25.552,137.46,-163.44,33.62,-10.1
* eps And,00 38 33.347,+29 18 42.312,-228.701,-253.206,19.2451,-83.958
* ups Psc,01 19 27.993,+27 15 50.616,22.98,-11.12,10.59,5.8
* 14 Ari,02 09 25.325,+25 56 23.416,81.194,-24.267,18.9736,-3.9
* eps Ari,02 59 12.725,+21 20 25.558,-13.74,-5.12,9.81,0.9
* mu.01 Cyg,21 44 8.589,+28 44 33.382,277.4,-251.1,42.1,18.0
* mu. Cyg,21 44 8.578,+28 44 33.468,256.452,-239.685,45.156,16.95
* eta Peg,22 43 0.129,+30 13 16.373,19.957,-18.971,16.6308,4.17
* del And,00 39 19.675,+30 51 39.678,114.45,-84.02,30.91,-9.88
* tau Psc,01 11 39.617,+30 05 22.697,73.384,-26.707,18.9653,29.19
* alf Tri,01 53 4.907,+29 34 43.78,10.82,-234.24,51.5,-12.6
* pi. Peg,22 09 59.244,+33 10 41.598,-12.87,-18.95,12.4,5.1
* pi. And,00 36 52.849,+33 43 9.638,14.75,-3.51,5.45,8.2
* iot Tri,02 12 22.28,+30 18 11.043,-65.05,-60.5,11.22,-19.98
* 35 Ari,02 43 27.114,+27 42 25.738,8.502,-11.433,5.2876,13.0
* 41 Ari,02 49 59.033,+27 15 37.826,66.81,-116.52,19.69,4.0
* zet Cyg,21 12 56.186,+30 13 36.896,6.51,-68.21,22.79,16.72
* tet And,00 17 5.502,+38 40 53.889,-57.551,-14.795,18.8747,0.9
* sig And,00 18 19.657,+36 47 6.811,-65.67,-42.0,24.2,-8.2
* mu. And,00 56 45.209,+38 29 57.603,151.021,34.8,26.7046,7.2
* bet And,01 09 43.924,+35 37 14.008,175.9,-112.2,16.52,0.06
* gam Tri,02 17 18.867,+33 50 49.895,44.64,-52.57,29.04,9.9
* 39 Ari,02 47 54.541,+29 14 49.613,149.47,-127.05,19.01,-15.53
* 1 Lac,22 15 58.177,+37 44 55.439,8.85,-0.72,5.25,-8.58
* 10 Lac,22 39 15.679,+39 03 0.971,-0.32,-5.46,1.89,-10.1
* nu. And,00 49 48.847,+41 04 44.076,22.77,-18.35,5.28,-23.9
* bet Tri,02 09 32.627,+34 59 14.269,149.16,-39.1,25.71,12.3
* ups Cyg,21 17 55.086,+34 53 48.825,5.667,-5.601,5.012,-0.7
* 72 Cyg,21 34 46.587,+38 32 2.64,112.808,99.499,14.0094,-68.12
HD 211073,22 13 52.728,+39 42 53.729,38.941,19.342,5.7181,-11.4
* 15 Lac,22 52 2.034,+43 18 44.702,109.428,23.678,9.3012,-19.21
* omi And,23 01 55.265,+42 19 33.533,22.99,0.88,4.75,-14.0
* iot And,23 38 8.201,+43 16 5.065,27.64,-1.02,6.53,-0.5
* kap And,23 40 24.508,+44 20 2.157,80.73,-18.7,19.37,-12.7
* tau And,01 40 34.816,+40 34 37.374,15.99,-23.76,4.58,-13.9
* ups And,01 36 47.842,+41 24 19.651,-171.892,-381.815,74.194,-28.662
* 58 And,02 08 29.26,+37 51 32.686,154.36,-42.76,17.04,7.6
* 17 Per,02 51 30.837,+35 03 35.063,9.479,-62.744,7.7762,13.21
* 24 Per,02 59 3.677,+35 10 59.271,-46.308,6.614,9.0501,-36.97
* ome Hya,09 05 58.37,+05 05 32.374,-21.393,-9.59,5.3609,27.32
* kap Pyx,09 08 2.88,-25 51 30.736,34.972,0.197,6.239,-44.7
* 38 Lyn,09 18 50.644,+36 48 9.333,-32.33,-125.64,26.13,4.0
* alf Lyn,09 21 3.3,+34 23 33.213,-218.723,16.555,14.7042,38.47
* 27 Hya,09 20 29.019,-09 33 20.505,-12.48,-27.37,14.66,25.6
* 26 Hya,09 19 46.382,-11 58 29.47,-27.97,12.4,9.4514,-1.18
* tet Pyx,09 21 29.59,-25 57 55.586,-12.86,-9.792,5.096,20.0
* kap Leo,09 24 39.259,+26 10 56.365,-31.64,-48.2,16.2,28.0
* lam Leo,09 31 43.228,+22 58 4.69,-20.17,-39.47,9.91,24.27
* ksi Leo,09 31 56.741,+11 17 59.358,-101.446,-82.543,14.2602,35.83
* tau02 Hya,09 31 58.926,-01 11 4.817,-11.906,-2.198,5.5119,3.9
* tau01 Hya,09 29 8.931,-02 46 8.182,116.374,-31.265,54.9187,10.484
* alf Hya,09 27 35.243,-08 39 30.958,-15.23,34.37,18.09,-4.561
* G Hya,09 27 18.413,-22 20 37.418,178.235,-178.053,18.5521,29.05
* lam Pyx,09 23 12.25,-28 50 1.901,-126.913,23.116,17.0726,10.8
* eps Ant,09 29 14.72,-35 57 4.807,-24.69,5.04,4.59,22.2
* 10 LMi,09 34 13.382,+36 23 51.209,6.989,-22.729,17.0738,-11.94
* omi Leo,09 41 9.033,+09 53 32.31,-143.2,-37.2,25.03,26.18
* 2 Sex,09 38 27.289,+04 38 57.454,-164.812,-50.933,10.3358,44.85
* iot Hya,09 39 51.361,-01 08 34.113,46.96,-62.39,12.39,24.19
* I Hya,09 41 17.007,-23 35 29.453,-29.29,2.7,6.44,25.9
HD 84117,09 42 14.416,-23 54 56.042,-399.497,262.319,66.8827,34.98
* tet Ant,09 44 12.095,-27 46 10.101,-53.23,37.24,9.61,24.0
* mu. Leo,09 52 45.817,+26 00 25.032,-217.31,-54.26,26.28,13.647
* eps Leo,09 45 51.073,+23 46 27.321,-45.61,-9.21,13.22,4.322
* ups01 Hya,09 51 28.694,-14 50 47.771,18.88,-21.85,12.36,-14.34
HD 85951,09 54 52.204,-19 00 33.62,-45.386,-40.456,5.6789,50.0
HD 85859,09 54 12.317,-25 55 56.388,-179.867,54.676,13.9225,50.5
* 21 LMi,10 07 25.763,+35 14 40.896,52.9,0.62,35.41,-11.4
* eta Leo,10 07 19.952,+16 45 45.58,-2.8,-1.82,2.57,1.4
* pi. Leo,10 00 12.806,+08 02 39.203,-31.41,-22.15,8.03,22.3
* ups02 Hya,10 05 7.469,-13 03 52.656,-39.39,19.65,10.4,24.3
* zet Leo,10 16 41.416,+23 25 2.322,18.39,-6.84,11.9,-21.4
* 31 Leo,10 07 54.27,+09 59 51.025,-82.021,-64.844,11.0209,39.84
* alf Leo,10 08 22.311,+11 58 1.952,-248.73,5.59,41.13,5.9
* alf Sex,10 07 56.284,-00 22 18.013,-13.06,-9.669,7.6582,10.0
* lam Hya,10 10 35.289,-12 21 14.859,-217.433,-74.373,30.0232,19.4
* mu. UMa,10 22 19.74,+41 29 58.269,-81.47,35.34,14.16,-21.3
* bet LMi,10 27 53.0,+36 42 25.956,-127.68,-110.31,21.19,8.52
* 30 LMi,10 25 54.815,+33 47 46.029,-73.711,-59.439,13.465,13.7
* gam Leo,10 19 58.351,+19 50 29.347,304.3,-154.28,25.07,-36.24
* mu. Hya,10 26 5.426,-16 50 10.643,-129.17,-79.76,13.93,40.81
* alf Ant,10 27 9.101,-31 04 4.005,-81.32,9.798,8.9069,12.2
* r Vel,10 22 19.585,-41 38 59.863,-27.72,60.366,15.7328,21.53
HD 91312,10 33 13.89,+40 25 31.967,-136.291,1.774,29.1453,9.0
* 37 LMi,10 38 43.213,+31 58 34.461,0.07,7.79,5.64,-7.71
* rho Leo,10 32 48.672,+09 18 23.709,-5.93,-3.4,0.6,42.0
V* U Hya,10 37 33.273,-13 23 4.353,42.59,-37.72,4.8,-25.8
* phi Hya,10 38 34.948,-16 52 35.635,-95.499,25.027,12.4255,16.58
HD 92036,10 37 13.725,-27 24 45.488,-113.749,20.812,6.885,16.9
* nu. Hya,10 49 37.489,-16 11 37.136,93.35,198.88,22.69,-1.37
* ome UMa,10 53 58.741,+43 11 23.847,44.033,-23.714,13.291,-18.7
* 46 LMi,10 53 18.705,+34 12 53.537,92.02,-285.82,34.38,15.69
* 54 Leo,10 55 36.797,+24 44 58.982,-80.03,-15.36,11.37,5.4
* 54 Leo A,10 55 36.801,+24 44 59.022,-76.977,-14.698,10.742,5.4
* b Leo,11 02 19.776,+20 10 47.427,-8.67,39.07,25.73,-11.1
* c Leo,11 00 44.802,+06 06 5.203,-52.013,-23.524,21.4498,-11.7
* 58 Leo,11 00 33.647,+03 37 2.992,13.868,-15.792,9.6348,5.98
* p02 Leo,11 01 49.676,-02 29 4.526,9.014,-35.37,5.4948,-12.7
* alf Crt,10 59 46.465,-18 17 55.63,-462.303,128.614,20.3693,47.54
* iot Ant,10 56 43.051,-37 08 15.963,74.069,-124.443,15.7132,2.3
* i Vel,11 00 9.264,-42 13 33.092,23.28,4.29,16.62,-3.5
* del Leo,11 14 6.501,+20 31 25.385,143.42,-129.88,55.82,-20.9
* tet Leo,11 14 14.404,+15 25 46.454,-60.31,-79.1,19.76,7.536
* chi Leo,11 05 1.028,+07 20 9.624,-345.034,-46.986,34.6007,3.3
* bet Crt,11 11 39.479,-22 49 33.053,7.827,-102.911,10.3043,5.6
* chi01 Hya,11 05 19.903,-27 17 37.047,-187.524,-3.099,22.5314,19.1
* 55 UMa,11 19 7.886,+38 11 8.136,-47.378,-75.708,16.0516,-3.0
* nu. UMa,11 18 28.737,+33 05 39.511,-26.84,28.69,8.17,-9.63
* ksi UMa B,11 18 10.836,+31 31 44.822,-339.398,-607.892,114.4867,-15.9
* ksi UMa,11 18 10.932,+31 31 45.44,-453.7,-591.4,113.2,-18.2
* 72 Leo,11 15 12.227,+23 05 43.837,-25.56,-6.0,3.4,14.76
* sig Leo,11 21 8.193,+06 01 45.571,-92.97,-11.48,14.82,-5.3
* phi Leo,11 16 39.7,-03 39 5.777,-110.37,-37.16,17.71,-3.0
* eps Crt,11 24 36.591,-10 51 33.576,-25.154,24.689,8.178,2.0
* del Crt,11 19 20.448,-14 46 42.741,-124.67,207.59,17.56,-4.94
* gam Crt,11 24 52.924,-17 41 2.43,-97.42,3.65,39.62,1.0
HD 98993,11 23 12.688,-36 09 53.176,-25.667,-0.783,6.0972,-4.6
* tau Leo,11 27 56.24,+02 51 22.554,16.851,-10.756,6.1072,-8.82
* ups Leo,11 36 56.931,-00 49 25.496,1.76,43.37,17.97,1.79
* e Leo,11 30 18.893,-03 00 12.599,19.554,-16.149,6.5892,18.43
* tet Crt,11 36 40.913,-09 48 8.091,-59.38,2.55,11.63,1.0
* ksi Hya,11 33 0.115,-31 51 27.443,-209.62,-40.84,25.16,-4.599
* 93 Leo,11 47 59.136,+20 13 8.15,-145.49,-4.34,14.02,0.75
* ksi Vir,11 45 17.04,+08 15 29.215,60.08,-24.5,26.73,-0.5
* nu. Vir,11 45 51.56,+06 31 45.741,-18.96,-181.56,11.1,50.28
* zet Crt,11 44 45.776,-18 21 2.435,27.298,-24.644,9.5113,-3.64
* omi Hya,11 40 12.79,-34 44 40.773,-43.24,-1.61,7.27,5.9
HD 102365,11 46 31.073,-40 30 1.286,-1530.971,403.287,107.3024,16.947
* bet Leo,11 49 3.578,+14 34 19.409,-497.68,-114.67,90.91,-0.2
* bet Vir,11 50 41.719,+01 45 53.002,740.746,-270.927,90.8945,4.455
* bet Hya,11 52 54.521,-33 54 29.267,-56.56,0.19,10.53,-1.0
* omi Vir,12 05 12.54,+08 43 58.75,-218.69,57.76,19.98,-29.578
* pi. Vir,12 00 52.39,+06 36 51.557,0.26,-30.1,8.49,-10.4
* eps Crv,12 10 7.481,-22 37 11.162,-71.74,10.25,10.26,5.0
* alf Crv,12 08 24.817,-24 43 43.952,96.976,-40.023,66.7696,2.8
HD 106760,12 16 30.134,+33 03 41.429,-50.589,-105.739,9.3913,-40.4
* 7 Com,12 16 20.538,+23 56 43.47,-26.55,-6.22,13.08,-27.89
* 11 Com,12 20 43.026,+17 47 34.328,-109.426,88.93,10.1677,43.37
* c Vir,12 20 20.981,+03 18 45.255,-293.281,-63.568,9.67,36.66
* eta Vir,12 19 54.342,-00 40 0.466,-54.665,-17.642,13.1692,5.24
* gam Crv,12 15 48.371,-17 32 30.95,-158.61,21.86,21.23,-4.2
* bet CVn,12 33 44.544,+41 21 26.921,-704.702,292.155,118.0266,6.268
* gam Com,12 26 56.272,+28 16 6.321,-83.95,-81.13,19.5,3.38
* 14 Com,12 26 24.064,+27 16 5.66,-15.874,-11.784,11.2826,-2.2
* 16 Com,12 26 59.296,+26 49 32.526,-11.589,-9.138,11.9394,0.4
* 12 Com,12 22 30.311,+25 50 46.168,-11.426,-8.112,11.4903,0.5
* eta Crv,12 32 4.226,-16 11 45.619,-424.597,-58.241,54.8135,0.69
* del Crv,12 29 51.855,-16 30 55.553,-210.49,-138.74,37.55,13.9
* 23 Com,12 34 51.081,+22 37 45.33,-58.89,28.31,10.52,-16.0
* rho Vir,12 41 53.057,+10 14 8.253,81.912,-90.323,25.6921,1.6
* gam Vir,12 41 39.628,-01 26 57.854,-605.176,85.701,83.1935,-19.8
* gam Vir B,12 41 39.543,-01 26 57.848,-534.318,-64.27,78.5233,-19.8
* chi Vir,12 39 14.767,-07 59 44.034,-77.223,-24.409,10.3526,-18.94
* bet Crv,12 34 23.235,-23 23 48.337,1.11,-56.56,22.39,-7.34
* l Cen,12 39 52.528,-39 59 14.291,-43.38,-25.25,8.94,15.1
* alf02 CVn,12 56 1.666,+38 19 6.155,-233.776,55.035,32.7227,-4.1
* 31 Com,12 51 41.92,+27 32 26.565,-12.025,-8.119,11.8467,0.94
* 35 Com,12 53 17.747,+21 14 41.809,-37.66,-30.14,11.52,-6.091
* del Vir,12 55 36.209,+03 23 50.893,-469.99,-52.83,16.44,-18.87
* psi Vir,12 54 21.163,-09 32 20.378,-18.08,-19.52,5.99,17.6
* p Cen,12 50 41.163,-33 59 57.653,-29.71,-13.778,7.9731,4.0
* n Cen,12 53 26.2,-40 10 43.944,70.84,-22.54,21.95,-2.5
* 37 Com,13 00 16.469,+30 47 6.079,-20.75,-6.712,5.2918,-14.34
* 41 Com,13 07 10.73,+27 37 29.055,34.155,-69.539,8.5989,-17.38
* eps Vir,13 02 10.598,+10 57 32.941,-273.8,19.96,29.76,-14.29
* 20 CVn,13 17 32.541,+40 34 21.387,-125.28,18.47,12.34,9.32
HD 115004,13 13 42.942,+40 09 10.386,-51.498,15.109,6.8982,-21.9
* bet Com,13 11 52.394,+27 52 41.462,-800.72,882.301,108.725,5.297
* alf Com,13 09 59.285,+17 31 46.039,-433.13,141.24,56.1,-18.826
* sig Vir,13 17 36.283,+05 28 11.522,-6.06,9.14,4.83,-28.26
* tet Vir,13 09 56.989,-05 32 20.415,-35.252,-33.302,11.1834,-3.353
* 61 Vir,13 18 24.314,-18 18 40.298,-1070.202,-1063.849,117.1726,-7.824
* psi Hya,13 09 3.266,-23 07 4.958,-20.533,-46.131,14.0296,-15.85
HD 114613,13 12 3.184,-37 48 10.88,-382.409,46.147,48.8691,-13.04
* 70 Vir,13 28 25.809,+13 46 43.638,-235.951,-575.969,55.2511,5.017
* alf Vir,13 25 11.579,-11 09 40.75,-42.35,-30.67,13.06,1.0
* 69 Vir,13 27 27.164,-15 58 24.886,-121.566,20.435,12.0127,-12.99
* gam Hya,13 18 55.297,-23 10 17.451,68.99,-41.85,24.37,-4.861
V* R Hya,13 29 42.782,-23 16 52.775,-57.68,12.86,8.05,-10.0
* iot Cen,13 20 35.813,-36 42 44.296,-339.615,-82.181,56.0571,0.1
V* BH CVn,13 34 47.809,+37 10 56.692,85.609,-9.549,21.3273,6.43
* 25 CVn,13 37 27.628,+36 17 41.634,-95.54,23.75,16.42,-10.4
* o Vir,13 34 7.932,+03 39 32.274,45.51,-24.7,17.65,-7.986
* zet Vir,13 34 41.591,-00 35 44.939,-276.903,44.621,43.7467,-13.2
* l Vir,13 31 57.885,-06 15 20.942,-103.94,-43.87,8.16,18.71
* d Cen,13 31 2.657,-39 24 26.299,-15.67,-10.49,3.6,-2.4
V* AW CVn,13 51 47.475,+34 26 39.261,-20.02,-32.33,5.43,-44.21
* e Boo,13 49 42.825,+21 15 50.765,31.23,17.196,4.7492,-2.6
* ups Boo,13 49 28.641,+15 47 52.46,-94.22,41.07,12.38,-5.85
* tau Boo,13 47 15.738,+17 27 24.81,-468.923,63.469,64.047,-16.03
* 89 Vir,13 49 52.283,-18 08 3.009,-100.681,-38.243,14.1268,-39.45
* i Cen,13 45 41.244,-33 02 37.381,-462.182,-146.513,51.9074,-21.5
* g Cen,13 49 26.722,-34 27 2.793,-41.68,-59.77,17.82,40.7
* eta Boo,13 54 41.079,+18 23 51.795,-60.95,-356.29,87.75,-5.25424
* tau Vir,14 01 38.793,+01 32 40.315,17.49,-21.27,14.5,-6.7
* h Cen,13 53 12.538,-31 55 39.43,-10.428,-10.71,4.8225,5.2
* d Boo,14 10 23.933,+25 05 30.037,-23.157,-59.831,27.484,9.58
* kap Vir,14 12 53.745,-10 16 25.334,7.25,139.88,12.8,-4.38
V* ET Vir,14 10 50.487,-16 18 7.311,3.277,-10.804,5.8655,18.58
* pi. Hya,14 06 22.297,-26 40 56.502,43.7,-141.18,32.3,27.2
* tet Cen,14 06 40.948,-36 22 11.837,-520.53,-518.06,55.45,1.3
* A Boo,14 17 59.817,+35 30 34.244,5.716,12.866,13.4788,-21.6
* alf Boo,14 15 39.672,+19 10 56.673,-1093.39,-2000.06,88.83,-5.229
BD+09 2882,14 23 22.695,+08 26 47.835,-75.89,-8.13,15.17,-23.0
* iot Vir,14 16 0.87,-06 00 1.963,-26.31,-419.38,44.97,12.079
* lam Vir,14 19 6.592,-13 22 15.946,-15.91,28.92,17.49,-6.4
* k Hya,14 23 5.774,-27 45 14.462,-202.484,-117.094,19.0593,20.5
* psi Cen,14 20 33.432,-37 53 7.055,-63.69,-10.65,12.6,1.8
* rho Boo,14 31 49.789,+30 22 17.172,-100.531,119.87,19.855,-13.57
* sig Boo,14 34 40.817,+29 44 42.458,188.574,131.58,63.4679,0.116
* phi Vir,14 28 12.139,-02 13 40.649,-138.727,-3.338,26.8792,-9.88
* l Hya,14 28 10.427,-29 29 29.897,-23.446,-24.638,7.5222,5.4
* eps Boo B,14 44 59.15,+27 04 29.948,-43.525,22.499,14.8826,-23.0
* eps Boo,14 44 59.217,+27 04 27.21,-50.95,21.07,16.1,-16.31
* eps Boo A,14 44 59.223,+27 04 27.146,-42.2,13.6,16.2,-16.6
* 34 Boo,14 43 25.363,+26 31 40.266,-13.57,-16.08,4.63,5.6
* pi.01 Boo,14 40 43.559,+16 25 5.976,13.922,15.566,10.3357,-1.1
* omi Boo,14 45 14.46,+16 57 51.408,-60.69,-50.56,13.42,-9.18
* zet Boo,14 41 8.952,+13 43 41.897,51.95,-11.08,18.56,-8.5
* 31 Boo,14 41 38.751,+08 09 42.352,-10.265,3.187,6.6024,-22.24
* 109 Vir,14 46 14.925,+01 53 34.384,-114.03,-22.13,24.25,-6.1
* mu. Vir,14 43 3.623,-05 39 29.533,103.28,-318.63,54.73,5.1
* c01 Cen,14 43 39.44,-35 10 25.159,-61.46,-176.84,15.57,-38.1
* c02 Cen,14 44 59.202,-35 11 30.583,9.311,-3.426,14.2784,-5.0
* ksi Boo A,14 51 23.388,+19 06 1.62,127.468,-40.569,148.0695,1.49
* ksi Boo,14 51 23.38,+19 06 1.699,154.98,-66.43,148.98,1.59
* 11 Lib,14 51 1.072,-02 17 56.941,89.935,-124.303,15.1361,83.571
* 16 Lib,14 57 10.999,-04 20 47.251,-98.683,-153.908,36.3454,26.3
* alf02 Lib,14 50 52.713,-16 02 30.396,-105.68,-68.4,43.03,-10.0
* E Hya,14 50 17.308,-27 57 37.3,-238.58,-62.451,10.8024,-8.7
* phi01 Lup,15 21 48.37,-36 15 40.952,-92.33,-85.67,11.86,-29.4
* phi02 Lup,15 23 9.35,-36 51 30.552,-18.24,-20.72,6.28,0.8
* eta Lup,16 00 7.328,-38 23 48.151,-16.96,-27.83,7.38,1.0
HD 143699,16 03 24.189,-38 36 9.153,-17.6,-29.1,8.16,-1.9
* zet02 Sco,16 54 35.005,-42 21 40.737,-126.721,-228.837,24.2353,-18.7
* zet01 Sco,16 53 59.727,-42 21 43.307,-0.094,-3.368,0.5855,-26.0
NGC 6231,16 54 8.51,-41 49 36.0,-0.529,-2.177,0.589,-19.1
* eta Sco,17 12 9.196,-43 14 21.091,24.47,-288.55,44.39,-27.0
* tet Sco,17 37 19.13,-42 59 52.181,5.54,-3.12,10.86,1.4
HD 163145,17 56 47.417,-44 20 31.987,-4.058,-24.973,9.3687,35.6
CD-43 12272,18 06 49.893,-43 25 30.796,10.73,-106.59,23.9,-7.8
* tet CrA,18 33 30.186,-42 18 45.03,32.046,-20.932,6.1673,-2.1
* zet CrA,19 03 6.877,-42 05 42.386,56.41,-46.43,16.89,-13.0
* alf Sgr,19 23 53.175,-40 36 57.37,30.49,-119.21,17.94,-0.7
HD 189831,20 03 33.467,-37 56 26.466,62.845,-85.958,8.1867,-38.3
* alf Mic,20 49 58.081,-33 46 46.934,15.057,-23.524,8.2508,-14.5
* psi01 Lup,15 39 45.979,-34 24 42.915,6.105,-11.251,14.7317,-21.9
* psi02 Lup,15 42 41.022,-34 42 37.462,-21.37,-29.98,8.97,3.9
* tet Lup,16 06 35.544,-36 48 8.174,-18.145,-32.242,7.3685,15.2
* iot01 Sco,17 47 35.081,-40 07 37.189,0.01,-6.24,1.69,-27.6
* iot02 Sco,17 50 11.112,-40 05 25.555,2.686,-2.117,0.8148,-10.2
HD 163376,17 57 47.803,-41 42 58.661,-3.97,-15.02,7.22,4.4
* bet CrA,19 10 1.756,-39 20 26.864,4.37,-36.65,6.88,2.7
* del CrA,19 08 20.97,-40 29 48.113,47.391,-27.246,17.6582,21.24
* f Lup,15 17 49.838,-30 08 55.217,-10.16,-3.66,10.01,-2.91
* i Lup,15 14 37.32,-31 31 8.846,-8.935,1.036,1.5243,-22.8
* chi Lup,15 50 57.538,-33 37 37.795,-5.1,-24.85,16.71,-16.3
* N Sco,16 31 22.933,-34 42 15.715,-12.05,-18.16,5.88,0.8
* H Sco,16 36 22.472,-35 15 19.18,15.61,11.33,9.52,-2.1
* mu.02 Sco,16 52 20.145,-38 01 3.126,-11.09,-23.32,6.88,1.3
* mu.01 Sco,16 51 52.228,-38 02 50.638,-10.451,-18.315,1.8732,-7.6
* ups Sco,17 30 45.837,-37 17 44.929,-2.37,-30.09,5.66,8.0
* Q Sco,17 36 32.855,-38 38 6.892,-16.762,-218.275,20.6922,-48.7
* lam Sco,17 33 36.52,-37 06 13.765,-8.53,-30.8,5.71,-3.0
* kap Sco,17 42 29.275,-39 01 47.939,-6.05,-25.54,6.75,-14.0
* G Sco,17 49 51.481,-37 02 35.795,41.717,11.975,24.734,24.7
* eta Sgr,18 17 37.635,-36 45 42.067,-129.56,-166.26,22.35,0.2
* eps CrA,18 58 43.383,-37 06 26.381,-131.234,-98.23,31.8084,57.9
* gam CrA,19 06 25.11,-37 03 48.39,96.74,-281.71,57.79,-51.6
* gam CrA A,19 06 25.215,-37 03 47.792,45.737,-285.189,58.6956,-54.3
* alf CrA,19 09 28.341,-37 54 16.102,84.87,-95.99,26.02,-18.4
* tet01 Sgr,19 59 44.178,-35 16 34.705,5.6,-25.81,6.29,0.9
* tau Lib,15 38 39.369,-29 46 39.896,-22.08,-24.46,8.89,3.2
* eps Sco,16 50 9.811,-34 17 35.634,-614.85,-255.98,51.19,-2.5
* k Sco,17 04 49.352,-34 07 22.542,1.272,-2.049,0.9235,7.0
* eps Sgr,18 24 10.318,-34 23 4.619,-39.42,-124.2,22.76,-15.0
HD 172910,18 44 19.359,-35 38 31.155,-0.68,-27.24,6.99,3.9
